                    8
 type,Incident/Second,EnSelected,x(m),y(m),z(m),velx(m/s),vely(m/s),velz(m/s),Diss,StateNum,partNum,Time(s)
e,i,0.74197E+01,        0.00000E+00,        0.00000E+00,        0.00000E+00,        0.10865-302,        0.96646E+07,        -0.90818E+07,       n,385,                0,                  0.00000E+00         
e,i,0.61881E+02,        0.79534E-13,        0.91910E-01,        -0.86368E-01,       0.42507-303,        0.37810E+07,        0.12384E+08,        n,798,                0,                  0.95100E-08         
e,i,0.43593E+01,        0.10652E-12,        0.11286E+00,        -0.17758E-01,       0.12340-302,        0.10976E+08,        0.44528E+07,        n,292,                0,                  0.15050E-07         
e,i,-0.12723E+01,       0.10661E-12,        0.11626E+00,        -0.16377E-01,       0.89669-303,        0.79760E+07,        0.83393E+07,        n,14,                 0,                  0.15360E-07         
e,i,0.39921E+00,        0.10664E-12,        0.11785E+00,        -0.14710E-01,       0.12642-302,        0.11245E+08,        0.12444E+07,        n,76,                 0,                  0.15560E-07         
e,i,-0.30095E+01,       0.11379E-12,        0.14990E+00,        -0.11163E-01,       0.12238-302,        0.10886E+08,        -0.19385E+07,       n,5,                  0,                  0.18410E-07         
e,i,0.35598E+01,        0.11770E-12,        0.17287E+00,        -0.15253E-01,       0.11722-302,        0.10427E+08,        0.29976E+07,        n,262,                0,                  0.20520E-07         
e,i,0.10499E+03,        0.12923E-12,        0.21062E+00,        -0.44020E-02,       0.10005-302,        0.88998E+07,        -0.56253E+07,       n,896,                0,                  0.24140E-07         
e,i,-0.30095E+01,       0.12947E-12,        0.21534E+00,        -0.73834E-02,       0.83926-303,        0.74652E+07,        0.35472E+07,        n,4,                  0,                  0.24670E-07         
e,i,0.57555E+00,        0.13034E-12,        0.22273E+00,        -0.38717E-02,       0.42536-303,        0.37836E+07,        0.70317E+07,        n,78,                 0,                  0.25660E-07         
e,i,0.00000E+00,        0.13035E-12,        0.22326E+00,        -0.28873E-02,       0.36050-303,        0.32067E+07,        -0.69038E+07,       n,1,                  0,                  0.25800E-07         
e,s,0.00000E+00,        0.00000E+00,        0.00000E+00,        0.00000E+00,        0.00000E+00,        0.00000E+00,        0.00000E+00,        n,0,                  1,                  0.00000E+00         
e,s,0.00000E+00,        0.79534E-13,        0.91910E-01,        -0.86368E-01,       0.00000E+00,        0.00000E+00,        0.00000E+00,        n,0,                  2,                  0.95100E-08         
e,s,0.00000E+00,        0.10652E-12,        0.11286E+00,        -0.17758E-01,       0.00000E+00,        0.00000E+00,        0.00000E+00,        n,0,                  3,                  0.15050E-07         
e,s,0.00000E+00,        0.10664E-12,        0.11785E+00,        -0.14710E-01,       0.00000E+00,        0.00000E+00,        0.00000E+00,        n,0,                  4,                  0.15560E-07         
e,s,0.00000E+00,        0.11770E-12,        0.17287E+00,        -0.15253E-01,       0.00000E+00,        0.00000E+00,        0.00000E+00,        n,0,                  5,                  0.20520E-07         
e,s,0.00000E+00,        0.12923E-12,        0.21062E+00,        -0.44020E-02,       0.00000E+00,        0.00000E+00,        0.00000E+00,        n,0,                  6,                  0.24140E-07         
e,s,0.00000E+00,        0.13034E-12,        0.22273E+00,        -0.38717E-02,       0.00000E+00,        0.00000E+00,        0.00000E+00,        n,0,                  7,                  0.25660E-07         
